vaccine,level,province_number,province_name,year,coverage,lowerbound,upperbound
dpt3,prov,1,Niassa,1990,0.395905583,0.239756135,0.551310394
dpt3,prov,1,Niassa,1991,0.403574077,0.260376238,0.547954291
dpt3,prov,1,Niassa,1992,0.411706769,0.277449486,0.541546739
dpt3,prov,1,Niassa,1993,0.420253862,0.3040524,0.535223772
dpt3,prov,1,Niassa,1994,0.429146802,0.328880006,0.52756066
dpt3,prov,1,Niassa,1995,0.438302387,0.352573901,0.519750075
dpt3,prov,1,Niassa,1996,0.44776414,0.376656371,0.512915853
dpt3,prov,1,Niassa,1997,0.458046241,0.399363904,0.510452726
dpt3,prov,1,Niassa,1998,0.469779763,0.418177715,0.515431228
dpt3,prov,1,Niassa,1999,0.483577177,0.435020509,0.526333635
dpt3,prov,1,Niassa,2000,0.500056121,0.452862714,0.54446129
dpt3,prov,1,Niassa,2001,0.518049649,0.4711804,0.563271089
dpt3,prov,1,Niassa,2002,0.539928667,0.494933758,0.58647556
dpt3,prov,1,Niassa,2003,0.566387888,0.523616627,0.611753068
dpt3,prov,1,Niassa,2004,0.597380822,0.55770127,0.638338219
dpt3,prov,1,Niassa,2005,0.631955913,0.595489669,0.668488162
dpt3,prov,1,Niassa,2006,0.668869652,0.635082463,0.700975582
dpt3,prov,1,Niassa,2007,0.706612075,0.673770065,0.737500307
dpt3,prov,1,Niassa,2008,0.7435139,0.708351313,0.778298979
dpt3,prov,1,Niassa,2009,0.77796962,0.737089115,0.817615068
dpt3,prov,1,Niassa,2010,0.808749371,0.759869123,0.85132049
dpt3,prov,1,Niassa,2011,0.835282914,0.779284608,0.881303931
dpt3,prov,1,Niassa,2012,0.857745676,0.796302895,0.906132478
dpt3,prov,1,Niassa,2013,0.876568578,0.810490506,0.925795413
dpt3,prov,1,Niassa,2014,0.892244423,0.821616103,0.942328169
dpt3,prov,1,Niassa,2015,0.905257986,0.832001133,0.954644002
dpt3,prov,2,Cabo Delgado,1990,0.185739956,0.093011012,0.310025508
dpt3,prov,2,Cabo Delgado,1991,0.217437126,0.121412428,0.338798255
dpt3,prov,2,Cabo Delgado,1992,0.254206311,0.157214473,0.372489402
dpt3,prov,2,Cabo Delgado,1993,0.29619826,0.201288408,0.408346314
dpt3,prov,2,Cabo Delgado,1994,0.343206124,0.252345634,0.443587445
dpt3,prov,2,Cabo Delgado,1995,0.394531546,0.311403794,0.48547199
dpt3,prov,2,Cabo Delgado,1996,0.448868109,0.374427878,0.525563683
dpt3,prov,2,Cabo Delgado,1997,0.50406567,0.441976834,0.568100074
dpt3,prov,2,Cabo Delgado,1998,0.557783152,0.503641191,0.611611942
dpt3,prov,2,Cabo Delgado,1999,0.608069295,0.562777262,0.654406703
dpt3,prov,2,Cabo Delgado,2000,0.653653181,0.614116394,0.694075886
dpt3,prov,2,Cabo Delgado,2001,0.69369388,0.65476664,0.732679044
dpt3,prov,2,Cabo Delgado,2002,0.728364837,0.690985509,0.764191165
dpt3,prov,2,Cabo Delgado,2003,0.757835374,0.722368646,0.790836672
dpt3,prov,2,Cabo Delgado,2004,0.782611554,0.751411583,0.811252883
dpt3,prov,2,Cabo Delgado,2005,0.803325493,0.776522753,0.82852686
dpt3,prov,2,Cabo Delgado,2006,0.820425701,0.794606306,0.844204038
dpt3,prov,2,Cabo Delgado,2007,0.834270288,0.807641541,0.859237078
dpt3,prov,2,Cabo Delgado,2008,0.845229841,0.81576656,0.873157192
dpt3,prov,2,Cabo Delgado,2009,0.853733818,0.816945379,0.886835904
dpt3,prov,2,Cabo Delgado,2010,0.860292507,0.816844779,0.898747144
dpt3,prov,2,Cabo Delgado,2011,0.865407849,0.814439917,0.909856204
dpt3,prov,2,Cabo Delgado,2012,0.869338305,0.810399453,0.918813343
dpt3,prov,2,Cabo Delgado,2013,0.872267236,0.805758524,0.926707785
dpt3,prov,2,Cabo Delgado,2014,0.874355241,0.799323414,0.933067893
dpt3,prov,2,Cabo Delgado,2015,0.875737977,0.792958582,0.939882643
dpt3,prov,3,Nampula,1990,0.236874681,0.13295435,0.356720409
dpt3,prov,3,Nampula,1991,0.259486406,0.157331657,0.373395986
dpt3,prov,3,Nampula,1992,0.28459997,0.186049223,0.390552495
dpt3,prov,3,Nampula,1993,0.312217537,0.218625653,0.407819928
dpt3,prov,3,Nampula,1994,0.34221454,0.257787335,0.427286082
dpt3,prov,3,Nampula,1995,0.374303192,0.300732031,0.446519355
dpt3,prov,3,Nampula,1996,0.408011317,0.346817098,0.468277756
dpt3,prov,3,Nampula,1997,0.442611328,0.390938736,0.494233618
dpt3,prov,3,Nampula,1998,0.477293563,0.433902673,0.523280475
dpt3,prov,3,Nampula,1999,0.511347561,0.474163491,0.553380296
dpt3,prov,3,Nampula,2000,0.544272489,0.506435979,0.584035311
dpt3,prov,3,Nampula,2001,0.575483522,0.536727061,0.615295559
dpt3,prov,3,Nampula,2002,0.605218665,0.566527965,0.645324025
dpt3,prov,3,Nampula,2003,0.633517002,0.595252723,0.672356276
dpt3,prov,3,Nampula,2004,0.660460007,0.624186364,0.696978145
dpt3,prov,3,Nampula,2005,0.686035734,0.65329851,0.71930292
dpt3,prov,3,Nampula,2006,0.710042241,0.679583335,0.739021847
dpt3,prov,3,Nampula,2007,0.732167857,0.702425321,0.760919574
dpt3,prov,3,Nampula,2008,0.752105243,0.71749705,0.78455974
dpt3,prov,3,Nampula,2009,0.769687456,0.728526081,0.806911429
dpt3,prov,3,Nampula,2010,0.784964615,0.737382458,0.826928111
dpt3,prov,3,Nampula,2011,0.798172052,0.744020984,0.846261293
dpt3,prov,3,Nampula,2012,0.809540262,0.746207434,0.862942821
dpt3,prov,3,Nampula,2013,0.819293719,0.749027143,0.877346536
dpt3,prov,3,Nampula,2014,0.827651411,0.75029396,0.89032085
dpt3,prov,3,Nampula,2015,0.83481619,0.749986037,0.90184887
dpt3,prov,4,Zamb‚zia,1990,0.205984095,0.110927979,0.336304295
dpt3,prov,4,Zamb‚zia,1991,0.220929683,0.128741468,0.343621449
dpt3,prov,4,Zamb‚zia,1992,0.237468721,0.149478111,0.350746876
dpt3,prov,4,Zamb‚zia,1993,0.255671598,0.171800712,0.357573703
dpt3,prov,4,Zamb‚zia,1994,0.275566491,0.199084414,0.364635689
dpt3,prov,4,Zamb‚zia,1995,0.297123514,0.229838815,0.376999653
dpt3,prov,4,Zamb‚zia,1996,0.320229296,0.261581804,0.385932692
dpt3,prov,4,Zamb‚zia,1997,0.344635599,0.294453399,0.401950991
dpt3,prov,4,Zamb‚zia,1998,0.369976754,0.327825775,0.418253167
dpt3,prov,4,Zamb‚zia,1999,0.395849952,0.358151773,0.436471232
dpt3,prov,4,Zamb‚zia,2000,0.421889973,0.38624012,0.460629685
dpt3,prov,4,Zamb‚zia,2001,0.447055008,0.411412499,0.485798215
dpt3,prov,4,Zamb‚zia,2002,0.471929727,0.433953553,0.510810862
dpt3,prov,4,Zamb‚zia,2003,0.496447478,0.459979105,0.536748608
dpt3,prov,4,Zamb‚zia,2004,0.520632268,0.484244959,0.557134465
dpt3,prov,4,Zamb‚zia,2005,0.544503843,0.510802476,0.577211128
dpt3,prov,4,Zamb‚zia,2006,0.567960941,0.537294463,0.597138465
dpt3,prov,4,Zamb‚zia,2007,0.590788134,0.558727337,0.620727557
dpt3,prov,4,Zamb‚zia,2008,0.612698132,0.577327653,0.645615342
dpt3,prov,4,Zamb‚zia,2009,0.633412126,0.590000182,0.671477845
dpt3,prov,4,Zamb‚zia,2010,0.652736039,0.599247098,0.701300584
