x,y,z,group
1,4.273592165,0.80921159,a
2,8.492518872,0.158086435,a
3,10.13082747,0.870627296,a
4,13.71367722,0.703304474,a
5,16.38666585,0.899767101,a
6,19.84356804,0.622129053,a
7,21.85469116,0.978889554,a
8,25.43675062,0.8409224,a
9,28.22398988,0.952226957,a
1,4.576707412,0.808933212,b
2,8.451068043,0.169167085,b
3,10.12485984,0.888434468,b
4,13.88483928,0.602472733,b
5,16.82761161,0.414527218,b
6,20.04431203,0.424660297,b
7,22.3469934,0.698935498,b
8,25.57806664,0.588978941,b
9,28.57339701,0.60982638,b
1,4.813188779,0.667523734,c
2,7.007457454,0.955375909,c
3,11.37789771,0.116938725,c
4,13.75582582,0.440170079,c
5,16.60954499,0.559726874,c
6,20.00847025,0.328106283,c
7,23.6654181,0.098151937,c
8,25.78380515,0.538123418,c
9,29.37807936,0.303372772,c
